MJ文字図形名,読み
MJ000624,あによめ
MJ000625,サン
MJ000626,トウ
MJ000626,ツ
MJ000627,チ
MJ000627,キ
MJ000627,ケ
MJ000628,ホウ
MJ000629,オウ
MJ000630,サ
MJ000631,サ
MJ000632,ホツ
MJ000632,ホチ
MJ000633,シン
MJ000634,トウ
MJ000634,ツ
MJ000634,ヨウ
MJ000634,ユ
MJ000635,シン
MJ000636,ユウ
MJ000636,ニ
MJ000637,ハイ
MJ000638,ロウ
MJ000638,ル
MJ000639,トウ
MJ000640,ラン
MJ000641,バン
MJ000641,マン
MJ000642,キョウ
MJ000642,コウ
MJ000643,チク
MJ000644,エン
MJ000645,セキ
MJ000645,シャク
MJ000646,リク
MJ000646,ロク
MJ000647,セキ
MJ000647,シャク
MJ000648,ソウ
MJ000648,あによめ
MJ000649,ソウ
MJ000649,あによめ
MJ000650,テン
MJ000650,ベン
MJ000651,コン
MJ000652,ワイ
MJ000652,エ
MJ000653,エイ
MJ000653,セイ
MJ000654,ドウ
MJ000654,ノウ
MJ000655,ショウ
MJ000656,タン
MJ000657,ケイ
MJ000658,シュ
MJ000659,ヘン
MJ000659,ベン
MJ000660,アン
MJ000660,オン
MJ000661,むかいめ
MJ000662,カイ
MJ000662,ケ
MJ000663,チョウ
MJ000663,ソウ
MJ000664,ソウ
MJ000665,サン
MJ000666,カン
MJ000666,ガン
MJ000667,ホウ
MJ000667,フ
MJ000668,レン
MJ000669,シン
MJ000669,ジン
MJ000670,チク
MJ000670,キク
MJ000671,ベイ
MJ000671,メイ
MJ000672,スイ
MJ000672,ズイ
MJ000672,ヨウ
MJ000672,イ
MJ000672,いかる
MJ000673,ボク
MJ000673,モク
MJ000674,ヨウ
MJ000674,ユ
MJ000675,テン
MJ000676,エキ
MJ000676,ヤク
MJ000677,ドウ
MJ000677,ヌ
MJ000677,コウ
MJ000677,ク
MJ000678,トウ
MJ000678,ドウ
MJ000679,ケイ
MJ000679,ゲイ
MJ000680,ウン
MJ000681,シュ
MJ000681,ジュ
MJ000682,バ
MJ000683,ゲイ
MJ000684,トウ
MJ000685,ソウ
MJ000685,ゾウ
MJ000686,サン
MJ000686,ソウ
MJ000686,シン
MJ000687,ショ
MJ000687,シュ
MJ000687,サ
MJ000687,ジャ
MJ000688,ロク
MJ000689,シュク
MJ000690,ナン
MJ000691,ゴウ
MJ000692,ガン
MJ000692,ゴン
MJ000692,アン
MJ000692,オン
MJ000692,カン
MJ000692,ゲン
MJ000692,エン
MJ000693,サン
MJ000693,ザ
MJ000693,セン
MJ000694,サイ
MJ000694,セ
MJ000695,ショウ
MJ000695,シュ
MJ000696,リュ
MJ000696,ル
MJ000696,ロウ
MJ000697,セン
MJ000697,ゼン
MJ000697,ネン
MJ000697,デン
MJ000698,デン
MJ000698,ネン
MJ000698,シン
MJ000698,タン
MJ000698,ドン
MJ000698,テン
MJ000699,バイ
MJ000699,メ
MJ000700,シン
MJ000700,ジン
MJ000701,ケツ
MJ000702,オウ
MJ000703,シン
MJ000704,ビ
MJ000705,ラン
MJ000706,キ
MJ000709,ヤク
MJ000709,シャク
MJ000710,シツ
MJ000710,シチ
MJ000711,エイ
MJ000711,ヨウ
MJ000712,エイ
MJ000712,ヨウ
MJ000713,カイ
MJ000713,エ
MJ000714,ボウ
MJ000714,モウ
MJ000715,ジョウ
MJ000715,ニョウ
MJ000716,ハン
MJ000717,ビ
MJ000717,ミ
MJ000717,ベイ
MJ000717,メイ
MJ000717,セン
MJ000718,セツ
MJ000718,ゲツ
MJ000719,ク
MJ000719,グ
MJ000719,オウ
MJ000719,オ
MJ000720,サン
MJ000721,レン
MJ000722,テツ
MJ000723,シ
MJ000723,こ
MJ000724,ガイ
MJ000725,コウ
MJ000726,ケン
MJ000727,セツ
MJ000727,セチ
MJ000727,セイ
MJ000728,ブン
MJ000728,モン
MJ000728,ハン
MJ000728,ホン
MJ000728,ベン
MJ000728,メン
MJ000728,バン
MJ000728,マン
MJ000729,ジュン
MJ000730,コウ
MJ000730,ドウ
MJ000730,ク
MJ000730,ヌ
MJ000731,ジュン
MJ000732,サン
MJ000732,セン
MJ000733,シュ
MJ000734,リョウ
MJ000735,キュウ
MJ000735,ク
MJ000735,ユウ
MJ000735,ユ
MJ000736,シャ
MJ000736,うつす
MJ000737,テイ
MJ000738,カイ
MJ000739,ヨウ
MJ000740,ボウ
MJ000741,キョ
MJ000742,コウ
MJ000743,ヨウ
MJ000744,ネイ
MJ000745,ギ
MJ000746,ロウ
MJ000747,ゴウ
MJ000747,グ
MJ000748,イン
MJ000749,エン
MJ000750,シュク
MJ000750,やど
MJ000751,セキ
MJ000751,シャク
MJ000752,リン
MJ000753,ア
MJ000754,ホウ
MJ000754,つきすすむ
MJ000754,ふれる
MJ000754,おかす
MJ000755,メイ
MJ000755,くらい
MJ000756,サイ
MJ000757,ウ
MJ000757,のき
